emp_no,first_name,last_name,birth_date,from_date,to_date,title
472791,Qiwen,Quittner,1964-12-25,2000-05-13,9999-01-01,Engineer
473364,Kish,Eterovic,1964-04-11,2001-09-23,9999-01-01,Senior Staff
475530,Torsten,Lodder,1964-10-14,2000-07-26,9999-01-01,Senior Staff
475755,Radhakrishnan,Coombs,1964-08-12,2000-06-28,9999-01-01,Engineer
476316,Nirmal,Francisci,1964-09-14,2001-05-29,9999-01-01,Staff
476390,Badri,Camarinopoulos,1964-11-13,2001-07-03,9999-01-01,Engineer
476811,Khalil,Czap,1964-12-31,2000-05-09,9999-01-01,Senior Staff
477024,Jingling,Coors,1964-10-09,2001-07-22,9999-01-01,Senior Engineer
477716,Emran,Casperson,1964-11-07,2001-06-22,9999-01-01,Engineer
478087,Maha,Vecchi,1964-06-22,2001-04-05,9999-01-01,Senior Staff
478307,Mrinalini,Casley,1964-07-29,2001-09-15,9999-01-01,Senior Staff
478386,Udo,Cooley,1964-07-05,2000-09-18,9999-01-01,Senior Engineer
478499,Panayotis,Gist,1964-04-21,2001-05-21,9999-01-01,Engineer
478643,Malu,Stenning,1964-11-05,2001-02-14,9999-01-01,Senior Staff
478824,Koichi,Ressouche,1964-10-14,2000-01-12,9999-01-01,Assistant Engineer
479164,Basil,Pavlopoulou,1964-03-19,2001-01-02,9999-01-01,Engineer
479478,Siamak,Rijsenbrij,1964-02-24,2000-12-28,9999-01-01,Senior Engineer
479777,Sajjad,Milicia,1964-12-18,2001-10-22,9999-01-01,Staff
479838,Filipe,Bellmore,1964-08-22,2000-01-07,9999-01-01,Senior Engineer
480430,Basil,Coombs,1964-03-05,2000-04-17,9999-01-01,Engineer
481053,Elgin,Jiafu,1964-10-28,2001-04-19,9999-01-01,Senior Staff
481169,Vishwani,Zhiwei,1964-02-06,2000-05-08,9999-01-01,Engineer
481488,Oddvar,Ciolek,1964-03-03,2001-05-12,9999-01-01,Engineer
481619,Troy,Magalhaes,1964-11-05,2001-11-30,9999-01-01,Staff
481647,Elvis,Dolinsky,1964-11-11,2000-10-25,9999-01-01,Engineer
482525,Aksel,Boudaillier,1964-04-29,2001-07-22,9999-01-01,Staff
482792,Charlene,Passino,1964-06-28,2001-04-14,9999-01-01,Senior Staff
482956,Laurentiu,Fiebach,1964-10-15,2001-07-03,9999-01-01,Senior Staff
483689,Lijie,Valiente,1964-12-22,2000-03-02,9999-01-01,Engineer
484759,Chrisa,Marciano,1964-03-23,2000-01-11,9999-01-01,Technique Leader
485809,Macha,Bressoud,1964-07-19,2000-04-20,9999-01-01,Staff
485854,Yunming,Baby,1964-03-26,2002-05-16,9999-01-01,Senior Staff
486698,Rildo,Kleiser,1964-03-26,2001-08-06,9999-01-01,Senior Staff
487097,Gen,Lieblein,1964-05-03,2000-01-09,9999-01-01,Staff
487126,Vasilis,Rusmann,1964-02-10,2001-04-17,9999-01-01,Engineer
487334,Navid,Munch,1964-05-31,2002-05-02,9999-01-01,Engineer
488170,Laurentiu,Wrigley,1964-03-02,2000-08-18,9999-01-01,Staff
488363,Lucian,Mersereau,1964-01-24,2000-06-22,9999-01-01,Senior Engineer
488720,Shaunak,Vrecion,1964-08-12,2001-02-18,9999-01-01,Engineer
488773,Tremaine,Skrikant,1964-05-12,2001-03-01,9999-01-01,Senior Staff
488947,Rafols,Brandsma,1964-12-01,2000-05-03,9999-01-01,Engineer
491138,Shahid,Waleschkowski,1964-07-21,2001-03-06,9999-01-01,Senior Engineer
491205,Ioana,Kuszyk,1964-01-12,2000-05-07,9999-01-01,Staff
492461,Chiranjit,Rahimi,1964-04-27,2000-11-04,9999-01-01,Staff
492807,Shigenori,Cangellaris,1964-09-18,2000-10-08,9999-01-01,Senior Staff
493076,Fox,Baer,1964-02-27,2002-06-06,9999-01-01,Senior Staff
493520,Yongmao,Sambasivam,1964-03-27,2001-05-28,9999-01-01,Staff
493769,Atreye,Billingsley,1964-09-16,2002-05-23,9999-01-01,Engineer
493858,Teruyuki,Luff,1964-04-08,2000-01-25,9999-01-01,Technique Leader
494165,Jianhao,Luck,1964-07-10,2001-04-25,9999-01-01,Engineer
494382,Pragnesh,Ernst,1964-09-28,2000-01-09,9999-01-01,Engineer
495263,Ewing,Pluym,1964-07-01,2002-07-11,9999-01-01,Staff
495483,Tristan,Panwar,1964-02-13,2002-04-13,9999-01-01,Assistant Engineer
495660,Evgueni,Smailagic,1964-09-19,2002-01-26,9999-01-01,Engineer
495968,Kamran,Hofstetter,1964-06-16,2000-07-13,9999-01-01,Engineer
495986,Shaibal,Stamatiou,1964-03-11,2002-06-28,9999-01-01,Senior Staff
496885,Takushi,Malinowski,1964-08-12,2000-02-25,9999-01-01,Senior Engineer
496955,Howell,Sidou,1964-08-30,2002-06-16,9999-01-01,Staff
496964,Nathan,Mandelberg,1964-09-07,2002-03-22,9999-01-01,Senior Staff
496999,Hsiangchu,Bridgland,1964-03-03,2000-09-21,9999-01-01,Staff
497327,Martien,Menhardt,1964-01-04,2001-06-09,9999-01-01,Staff
497401,Bokyung,Reutenauer,1964-02-25,2001-02-22,9999-01-01,Senior Staff
498767,Hironobu,Ghandeharizadeh,1964-11-15,2000-09-09,9999-01-01,Engineer
499136,Thodoros,Simkin,1964-11-27,2000-06-28,9999-01-01,Senior Engineer
499604,Mario,Zschoche,1964-09-06,2002-06-30,9999-01-01,Engineer
